site_web;nom_restaurant;ville;code_postal;score_anciennete;non_responsive;sans_https;techno;copyright;indices_anciennete
https://restaurantlapetiteardoise.fr;La Petite Ardoise;;;5;non;non;one.com web editor;2016;balises désuètes: bgcolor | copyright 2016
http://toyo79.fr;Toyo;;;5;oui;oui;2018.1.0.386;—;non responsive | pas de HTTPS
https://restaurant-iledor.fr;L'île d'or;;;5;non;non;wordpress 5.7.16;2021;WordPress 5 | copyright 2021
https://camping-laperle.fr;La Perle;;;5;non;non;joomla! - open source content management;1990;Joomla | copyright 1990
http://lemouflon-laplagne.fr;Le Mouflon;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://crous-versailles.fr;Restaurant universitaire;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://lafermebertrand.fr;ferme Bertrand;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://www.akamisushi.fr/;Akami Sushi;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://sushithidaily.fr;Thi Daily Coffret du gourmet;;;5;oui;oui;—;—;non responsive | pas de HTTPS
https://www.sushicreation.fr/homepage/index.html;Sushi Création;;;5;non;non;—;2020;balises désuètes: <font> | copyright 2020
https://odeslys-restaurant.fr;Ô dés lys;;;5;non;non;wordpress 5.4.20;2017;WordPress 5 | copyright 2017
https://restaurant-levolcan.fr;Le Volcan;;;5;oui;non;—;2021;non responsive | copyright 2021
http://restaurantlacitrouille.fr;La Citrouille;;;5;oui;oui;—;—;non responsive | pas de HTTPS
https://www.alapart.fr/;À La Part;;;5;oui;non;—;2021;non responsive | copyright 2021
http://relaisdelaloire.fr;Relais de la Loire;;;5;oui;oui;—;—;non responsive | pas de HTTPS
https://pizzashow.fr;Pizza Show Plus;;;5;non;non;—;2020;balises désuètes: <center> | copyright 2020
http://rusidda.fr;Rusidda;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://www.asahi14.fr/;Asahi;;;5;oui;oui;—;2026;non responsive | pas de HTTPS
http://restaurant-legalion.fr;Le Galion;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://lalanterna-lons.fr;La Lanterna;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://asmorfia.fr;à Smorfia;;;5;oui;oui;—;2022;non responsive | pas de HTTPS
